Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"Setapak, Kuala Lumpur","RM 1,377,000",4+1,5,,Condominium,"Built-up : 2,501 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur","RM 2,800,000",4+1,5,3,Condominium,"Built-up : 3,041 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,600,000",4,4,2,Condominium,,
"Mont Kiara, Kuala Lumpur","RM 1,750,000",3+1,4,,Condominium,"Built-up : 2,073 sq. ft.",
"Damansara Heights, Kuala Lumpur","RM 2,600,000",3+1,4,2,Serviced Residence,"Built-up : 1,851 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Unfurnished
"Damansara Heights, Kuala Lumpur","RM 1,400,000",1,1,1,Serviced Residence,Built-up : 904 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 5,070,000",3,3,3,Serviced Residence,"Built-up : 2,142 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 450,000",3,2,2,Condominium,"Built-up : 1,018 sq. ft.",Unfurnished
"Damansara Heights, Kuala Lumpur","RM 3,800,000",6+1,6,4,Bungalow,Land area : 5000 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 3,843,000",1+1,2,1,Condominium (Corner),"Built-up : 1,098 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 7,000,000",5+1,6,4,Bungalow (Corner),Land area : 6846 sq. ft.,Partly Furnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM 14,800,000",7+1,8,6,Bungalow (Corner),Land area : 12000 sq. ft.,Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 14,800,000",5+2,7,5,Bungalow (Corner),Land area : 13041 sq. ft.,Fully Furnished
"KL Eco City, Kuala Lumpur","RM 1,061,100",1+1,1,1,Condominium,Built-up : 786 sq. ft.,Partly Furnished
"KL Eco City, Kuala Lumpur","RM 900,000",1,1,1,Condominium,Built-up : 657 sq. ft.,Fully Furnished
"Kepong, Kuala Lumpur","RM 485,000",3,2,1,Condominium,Built-up : 950 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,160,000",3,2,2,Condominium (Intermediate),"Built-up : 1,389 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 3,550,000",4+1,5,4,3-sty Terrace/Link House (Intermediate),"Built-up : 4,306 sq. ft.",Unfurnished
"Damansara Heights, Kuala Lumpur","RM 5,400,000",4+1,4,6,Bungalow (Corner),Land area : 7300 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 980,000",2,2,1,Serviced Residence,Built-up : 932 sq. ft.,
"KLCC, Kuala Lumpur","RM 1,300,000",1,1,2,Serviced Residence,Built-up : 925 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 930,000",4+1,,,Condominium,"Built-up : 1,513 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 710,000",1,1,,Serviced Residence,Built-up : 676 sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 1,174,338",4+1,5,3,Condominium (Corner),"Built-up : 2,266 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,600,000",3+1,4,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,250,000",2,2,1,Condominium,Built-up : 736 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 648,888",3+1,2,2,Serviced Residence,,Unfurnished
"Desa ParkCity, Kuala Lumpur","RM 1,830,000",3+1,3,,2-sty Terrace/Link House (Intermediate),Land area : 1650 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 2,100,000",6,6,4,Semi-detached House,Land area : 3060 sq. ft.,
"Mont Kiara, Kuala Lumpur","RM 1,890,000",5+1,8,5,3-sty Terrace/Link House (Intermediate),Land area : 24x93 sq. ft.,Unfurnished
"KL Sentral, Kuala Lumpur","RM 1,049,888",2,2,2,Serviced Residence,Built-up : 858 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,850,000",3+2,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,200,000",4+1,4,3,2-sty Terrace/Link House (Intermediate),Land area : 22x100 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 3,300,000",5,5,4,Bungalow (Intermediate),Land area : 40x80 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 3,890,000",7+1,6,4,Semi-detached House (EndLot),Land area : 40x80 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,470,000",3,2,2,Condominium (Corner),Land area : 1200 sq. ft.,Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,450,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 24x80 sq. ft.,Fully Furnished
"Sungai Besi, Kuala Lumpur","RM 2,000,000",4+1,6,6,Semi-detached House (Corner),Land area : 20+26 x 80 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 920,000",4+1,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",1,1,1,Condominium (EndLot),Built-up : 751 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 7,612,600",4+2,4,3,Serviced Residence (Duplex),"Built-up : 4,478 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 900,000",4+1,3,2,Condominium (Corner),"Built-up : 1,513 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,060,000",4+1,3,4,Condominium (Corner),"Built-up : 1,772 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 738,000",4,2,2,Condominium (EndLot),"Built-up : 1,092 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,280,000",4,3,,2-sty Terrace/Link House (Intermediate),Land area : 25x75 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 5,350,000",5+2,4,,Bungalow (Intermediate),Land area : 7200 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 3,650,000",4+1,6,4,3-sty Terrace/Link House (Intermediate),Land area : 22x85 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,600,000",5+1,4,,2.5-sty Terrace/Link House,Land area : 22x75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,450,000",2,2,1,Condominium,Built-up : 867 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,700,000",3+1,4,,Condominium (Corner),"Built-up : 2,038 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 1,150,000",2+2,1,,Condominium,"Built-up : 1,119 sq. ft.",Fully Furnished
"KL Sentral, Kuala Lumpur","RM 1,500,000",3+1,3,,Condominium (Corner),"Built-up : 1,544 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 2,990,000",4+1,3,3,2-sty Terrace/Link House (EndLot),Land area : 39x85 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 715,000",3,2,1,Condominium (Intermediate),Built-up : 750 sq. ft.,Fully Furnished
"Wangsa Maju, Kuala Lumpur","RM 950,000",3,3,2,Condominium,"Built-up : 1,637 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,650,000",5,5,,Condominium (Intermediate),"Built-up : 3,401 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur","RM 2,500,000",4,3,3,2-sty Terrace/Link House (Corner),Land area : 2800 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 3,000,000",5,4,4,Semi-detached House,Land area : 3550 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 3,680,000",7,6,6,Bungalow,Land area : 6300 sq. ft.,
"Desa ParkCity, Kuala Lumpur","RM 2,400,000",6,5,5,3-sty Terrace/Link House,Land area : 22x80 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,990,000",5+1,6,2,2-sty Terrace/Link House,Land area : 22x100 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,750,000",3+1,3,2,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,
"Bukit Jalil, Kuala Lumpur","RM 900,000",4+1,3,3,Condominium (Corner),"Built-up : 1,513 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,250,000",1+1,1,1,Serviced Residence (Corner),Built-up : 880 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,050,000",4+1,3,4,Condominium (Corner),"Built-up : 1,772 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 6,000,000",5,4,,Bungalow,Land area : 8000 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 780,000",1,1,1,Apartment (Intermediate),Built-up : 624 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,350,000",2,2,2,Condominium (Corner),"Built-up : 1,270 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur","RM 2,650,000",3+1,4,3,Serviced Residence,"Built-up : 2,077 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 320,000",4,2,2,Serviced Residence,,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,450,000",4+1,4,3,Condominium (Corner),"Built-up : 3,000 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 12,000,000",6,7,,Bungalow,Land area : 9127 sq. ft.,
"KLCC, Kuala Lumpur","RM 1,100,000",2+1,2,,Serviced Residence (Corner),Built-up : 811 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,550,000",4+1,6,3,Condominium,"Built-up : 3,541 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 1,350,000",6,5,2,3-sty Terrace/Link House (Intermediate),Land area : 20 X 80 sq. ft.,Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,500,000",4,3,3,2-sty Terrace/Link House (Intermediate),Land area : 24x75 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 930,000",4+1,4,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 535,000",1,1,1,Serviced Residence (Intermediate),Built-up : 762 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,400,000",2,2,1,Serviced Residence (Intermediate),"Built-up : 1,006 sq. ft.",Fully Furnished
"Country Heights Damansara, Kuala Lumpur","RM 11,800,000",7,8,6,Bungalow (Corner),Land area : 8622 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,250,000",1,1,1,Serviced Residence,Built-up : 850 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,080,000",4+1,3,,Condominium,"Built-up : 1,772 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 1,450,000",3+1,4,2,Condominium (Corner),"Built-up : 1,496 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 940,000",4+1,3,3,Condominium (Corner),"Built-up : 1,513 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,150,000",2,2,1,Serviced Residence,"Built-up : 1,148 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 580,000",Studio,1,1,Serviced Residence,Built-up : 462 sq. ft.,
"Mont Kiara, Kuala Lumpur","RM 628,000",1,1,1,Serviced Residence (SOHO),Built-up : 496 sq. ft.,
"Damansara Heights, Kuala Lumpur","RM 4,300,000",,,3,Semi-detached House,Land area : 5177 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 2,100,000",4+1,3,2,2-sty Terrace/Link House (Intermediate),Land area : 1875 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 4,680,000",4+2,4,4,Semi-detached House,Land area : 3800 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,761,000",1,2,1,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,100,000",3+1,3,2,Condominium,"Built-up : 1,200 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 3,200,000",6+1,7,5,Bungalow (Intermediate),Land area : 5317 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 528,000",3,2,2,Condominium (EndLot),Built-up : 960 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,180,000",1+1,1,,Serviced Residence,Built-up : 635 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 928,000",4+1,3,2,Condominium (Intermediate),"Built-up : 1,513 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,100,000",4+1,4,4,Condominium (Corner),"Built-up : 1,772 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 509,000",2,2,1,Serviced Residence,Built-up : 797 sq. ft.,
"Mont Kiara, Kuala Lumpur","RM 1,668,000",4,4,2,Condominium (Corner),"Built-up : 1,668 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 415,000",4,2,2,Condominium (Intermediate),Built-up : 932 sq. ft.,Unfurnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 2,600,000",4+1,3,3,Semi-detached House (Intermediate),Land area : 3600 sq. ft.,Partly Furnished
"Sentul, Kuala Lumpur","RM 700,000",2+1,3,2,Condominium,Built-up : 999 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 375,000",1,2,1,Serviced Residence,Built-up : 775 sq. ft.,Fully Furnished
"Setapak, Kuala Lumpur","RM 380,000",2,2,1,Serviced Residence,Built-up : 900 sq. ft.,
"Wangsa Maju, Kuala Lumpur","RM 425,000",3,2,2,Serviced Residence,Built-up : 880 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,600,000",4+1,4,3,Condominium,"Built-up : 3,041 sq. ft.",Fully Furnished
"Batu Caves, Kuala Lumpur","RM 730,000",3,2,2,Serviced Residence (Intermediate),"Built-up : 1,227 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 480,000",3,2,2,Condominium,Built-up : 825 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,830,000",3+1,3,2,Serviced Residence (Corner),,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,450,000",2,2,1,Serviced Residence,"Built-up : 1,050 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur","RM 750,000",4,3,,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,
"KLCC, Kuala Lumpur","RM 3,600,000",2+1,3,2,Serviced Residence (Intermediate),"Built-up : 1,668 sq. ft.",Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 14,800,000",5+2,7,,Bungalow,Land area : 8600 sq. ft.,Fully Furnished
"Taman Desa, Kuala Lumpur","RM 600,000",3,2,1,Serviced Residence,Built-up : 935 sq. ft.,Fully Furnished
"Taman Desa, Kuala Lumpur","RM 620,000",3,2,1,Serviced Residence,Built-up : 935 sq. ft.,Unfurnished
"Taman Desa, Kuala Lumpur","RM 498,000",2,2,1,Serviced Residence,Built-up : 715 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 860,000",1+1,1,1,Serviced Residence (Corner),Built-up : 933 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,350,000",3+1,3,3,Serviced Residence (Penthouse),"Built-up : 1,519 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 750,000",1+1,2,1,Serviced Residence (Corner),Built-up : 750 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,800,000",4+1,4,2,Condominium,"Built-up : 1,830 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 1,800,000",3+1,3,2,Condominium,"Built-up : 1,830 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 1,750,000",3+1,3,,Condominium,"Built-up : 1,830 sq. ft.",
"Sungai Besi, Kuala Lumpur","RM 820,000",2,2,2,Serviced Residence,"Built-up : 1,259 sq. ft.",
"KLCC, Kuala Lumpur","RM 3,609,950",3,3,1,Serviced Residence,"Built-up : 1,560 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 530,000",1+1,1,1,Condominium (Intermediate),Built-up : 600 sq. ft.,Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 1,500,000",3,2,,Condominium,"Built-up : 1,200 sq. ft.",
"Bukit Bintang, Kuala Lumpur","RM 1,200,000",3,2,,Condominium,"Built-up : 1,200 sq. ft.",
"KLCC, Kuala Lumpur","RM 1,070,000",2,1,1,Condominium,,
"KLCC, Kuala Lumpur","RM 1,399,000",2,2,2,Condominium,"Built-up : 1,270 sq. ft.",
"Sentul, Kuala Lumpur","RM 848,000",3+1,3,2,Condominium,"Built-up : 1,381 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,280,000",2,2,,Serviced Residence,Built-up : 926 sq. ft.,Fully Furnished
"Sentul, Kuala Lumpur","RM 695,000",2,2,2,Condominium,Built-up : 999 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 688,000",3,2,,1-sty Terrace/Link House (Intermediate),Land area : 20x65 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 680,000",3,3,,2-sty Terrace/Link House (Intermediate),Land area : 16x60 sq. ft.,Unfurnished
"Bandar Menjalara, Kuala Lumpur","RM 430,000",3,2,2,Condominium (Intermediate),"Built-up : 1,076 sq. ft.",Unfurnished
"Bangsar, Kuala Lumpur","RM 1,250,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 5,200,000",5,5,8,Bungalow,Land area : 12250 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 285,000",3,2,1,Apartment,Land area : 748 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 488,000",4,3,4,2-sty Terrace/Link House,Land area : 16x60 sq. ft.,
"Cheras, Kuala Lumpur","RM 400,000",3,2,1,Condominium (Corner),Built-up : 920 sq. ft.,Fully Furnished
"Seputeh, Kuala Lumpur","RM 543,353",1,1,1,Condominium (Corner),Built-up : 667 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 520,000",3,2,2,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,800",Studio,1,,Serviced Residence (Intermediate),Built-up : 493 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,800",Studio,1,,Serviced Residence (Intermediate),Built-up : 493 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,900,000",1+1,2,1,Serviced Residence (Intermediate),"Built-up : 1,076 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,900,000",1+1,2,1,Serviced Residence (Intermediate),"Built-up : 1,076 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,150,000",1+1,2,1,Serviced Residence (Intermediate),"Built-up : 1,079 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 4,280,000",3+1,5,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 900,000",3,2,1,Condominium,"Built-up : 1,208 sq. ft.",Fully Furnished
"KL City, Kuala Lumpur","RM 440,000",3+1,2,2,Condominium,"Built-up : 1,065 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,290,000",4+1,5,3,Condominium (Corner),"Built-up : 2,767 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,120,000",2,2,,Serviced Residence,Built-up : 910 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,253,000",4+1,6,3,Condominium (Corner),"Built-up : 2,702 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,050,000",2,2,,Serviced Residence,Built-up : 896 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,230,000",4+1,5,,Condominium (Corner),"Built-up : 2,973 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,880,000",3+1,5,,Condominium (Corner),"Built-up : 2,243 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 3,270,600",5+1,6,,Condominium,"Built-up : 3,671 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,660,000",3,4,2,Condominium,"Built-up : 1,878 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur","RM 3,200,000",4+1,5,,Condominium (Corner),"Built-up : 3,729 sq. ft.",Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 12,000,000",7+,9,,Bungalow (Corner),Land area : 10345 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 4,500,000",4+1,5,,Condominium (Corner),"Built-up : 4,723 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,700,000",4+1,5,,Condominium (Corner),"Built-up : 4,090 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,980,000",4+1,6,3,Condominium (Corner),"Built-up : 3,668 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,090,000",5+1,6,,2.5-sty Terrace/Link House (Intermediate),Land area : 2800 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,300,000",4+1,5,,Condominium (Corner),"Built-up : 4,450 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,280,000",4+1,6,2,3-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 3,380,000",4+1,5,,Bungalow (Corner),Land area : 40x80 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,980,000",3+1,3,,2-sty Terrace/Link House (Intermediate),Land area : 1650 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,400,000",5+1,5,,3-sty Terrace/Link House (Intermediate),Land area : 22x85 sq. ft.,Partly Furnished
"Bukit Kiara, Kuala Lumpur","RM 4,467,122",5,5,4,4-sty Terrace/Link House (Intermediate),"Built-up : 4,422 sq. ft.",Partly Furnished
"Bukit Kiara, Kuala Lumpur","RM 5,344,829",5,5,4,4-sty Terrace/Link House (Intermediate),"Built-up : 5,315 sq. ft.",Partly Furnished
"Sunway SPK, Kuala Lumpur","RM 1,600,000",4+1,3,,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,900,000",4+1,5,,3-sty Terrace/Link House (Intermediate),Land area : 22x85 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 2,100,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"Sunway SPK, Kuala Lumpur","RM 1,200,000",3+1,4,,Townhouse (Intermediate),Land area : 26x87 sq. ft.,Partly Furnished
"Sunway SPK, Kuala Lumpur","RM 1,600,000",5+1,5,,2.5-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,484,600",4+1,6,3,Condominium (Corner),"Built-up : 3,668 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 2,400,000",5,3,2,2-sty Terrace/Link House (Intermediate),Land area : 25 x 85 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 3,450,000",6+1,6,,Semi-detached House (Intermediate),Land area : 40x80 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,300,000",2,2,2,Condominium (Corner),"Built-up : 1,323 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 3,480,000",3+1,5,,2-sty Terrace/Link House (Corner),"Built-up : 3,082 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,250,000",2,2,2,Condominium (Corner),"Built-up : 1,300 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,730,000",3+1,4,2,Condominium (Corner),"Built-up : 1,700 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,880,000",3+1,4,,2-sty Terrace/Link House (Intermediate),Land area : 20'x 75' sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,180,000",2+1,3,,Condominium,"Built-up : 1,507 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,400,000",4+2,5,,3-sty Terrace/Link House,Land area : 22x80 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,850,000",3+1,4,3,3-sty Terrace/Link House (Intermediate),Land area : 30x44 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,850,000",3+1,4,,2-sty Terrace/Link House (Intermediate),"Built-up : 3,082 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,350,000",3+1,3,3,Condominium (Intermediate),"Built-up : 1,701 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,350,000",3+1,4,2,Condominium (Corner),"Built-up : 1,680 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 950,000",3,2,1,Condominium (Intermediate),"Built-up : 1,518 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 2,280,000",4+1,5,2,Condominium (Duplex),"Built-up : 3,303 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 1,150,000",2+1,2,1,Condominium (Corner),"Built-up : 1,205 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 3,600,000",3+1,4,3,Serviced Residence,"Built-up : 2,702 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 1,400,000",1,1,1,Serviced Residence,Built-up : 904 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 398,000",,,2,Condominium (Corner),"Built-up : 1,027 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,890,000",4+2,5,,Condominium,"Built-up : 3,412 sq. ft.",Partly Furnished
"Jalan Ipoh, Kuala Lumpur","RM 561,100",3+1,4,,Condominium (Penthouse),"Built-up : 1,879 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur","RM 710,550",4,2,,Serviced Residence (Corner),"Built-up : 1,572 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,818,500",4,3,,Condominium,"Built-up : 2,250 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 486,000",3,2,,Serviced Residence,Built-up : 945 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,535,300",5,5,,Condominium,"Built-up : 3,729 sq. ft.",Partly Furnished
"KL Eco City, Kuala Lumpur","RM 1,804,275",3,2,,Condominium (Duplex),Land area : 1647 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,600,000",4+1,5,,2-sty Terrace/Link House (Corner),Land area : 2000 sq. ft.,Partly Furnished
